ID_name	MetaPopulation	Population	color	reg.shape	size	fill
I1955	Iran_Med	Iran_GanjDareh_Contemporary	#9e346f	8	1.4	#9e346f
I1290	Iran_N	Iran_GanjDareh_N	black	22	1.4	#9e346f
I1944	Iran_N	Iran_GanjDareh_N	black	22	1.4	#9e346f
I1945	Iran_N	Iran_GanjDareh_N	black	22	1.4	#9e346f
I1949	Iran_N	Iran_GanjDareh_N	black	22	1.4	#9e346f
I1951	Iran_N	Iran_GanjDareh_N	black	22	1.4	#9e346f
GD13a	Iran_N	Iran_GanjDareh_N_SG	black	22	1.4	#9e346f
I1671	Iran_N	Iran_SehGabi_LN	black	22	1.4	#9e346f
AH1	Iran_N	Iran_TepeAbdul_N	black	22	1.4	#9e346f
AH2	Iran_N	Iran_TepeAbdul_N	black	22	1.4	#9e346f
AH4	Iran_N	Iran_TepeAbdul_N	black	22	1.4	#9e346f
WC1	Iran_N	Iran_WezmehCave_N	black	22	1.4	#9e346f
I8724	Shahr_I	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I8725	Shahr_I	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I8726	Indus4	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I8728	Indus9	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I4349	Hajji_Firuz_C	Iran_Hajji_Firuz_C	black	23	1.4	#9e346f
I4351	Hajji_Firuz_C	Iran_Hajji_Firuz_C	black	23	1.4	#9e346f
I4241	Hajji_Firuz_C	Iran_Hajji_Firuz_C	black	23	1.4	#9e346f
I4243	Hajji_Firuz_BA	Iran_Hajji_Firuz_BA	black	24	1.4	#9e346f
I11456	Indus_Periphery8	Iran_Shahr_I_Sokhta_BA2	black	24	1.4	#9e346f
I11458	Indus_Periphery7	Iran_Shahr_I_Sokhta_BA2	black	24	1.4	#9e346f
I11459	Indus_Periphery10	Iran_Shahr_I_Sokhta_BA2	black	24	1.4	#9e346f
I11460	Indus_Periphery12	Iran_Shahr_I_Sokhta_BA2	black	24	1.4	#9e346f
I11461	Shahr_I_Sokhta_BA1	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I11462	Shahr_I_Sokhta_BA1	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I11466	Indus_Periphery11	Iran_Shahr_I_Sokhta_BA2	black	24	1.4	#9e346f
I11468	Shahr_I_Sokhta_BA1	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I11469	Shahr_I_Sokhta_BA1	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I11471	Indus_Periphery5	Iran_Shahr_I_Sokhta_BA2	black	24	1.4	#9e346f
I11472	Shahr_I_Sokhta_BA3	Iran_Shahr_I_Sokhta_BA3	black	24	1.4	#9e346f
I11474	Shahr_I_Sokhta_BA1	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I11476	Shahr_I_Sokhta_BA1	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I11478	Shahr_I_Sokhta_BA1	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
I11479	Shahr_I_Sokhta_BA1	Iran_Shahr_I_Sokhta_BA1	black	24	1.4	#9e346f
ERS1790729	Levant_BA	Levant_BA_North	black	24	1.4	#349e63
ERS1790730	Levant_BA	Levant_BA_North	black	24	1.4	#349e63
ERS1790731	Levant_BA	Levant_BA_North	black	24	1.4	#349e63
ERS1790732	Levant_BA	Levant_BA_North	black	24	1.4	#349e63
ERS1790733	Levant_BA	Levant_BA_North	black	24	1.4	#349e63
I1705	Levant_BA	Levant_BA_South	black	24	1.4	#349e63
I1706	Levant_BA	Levant_BA_South	black	24	1.4	#349e63
